trip_duration,start_date,end_date,start_station_id,end_station_id,bike_id,member_type,location_id
371,2019-01-01 00:09:13.7980,2019-01-01 00:15:25.3360,80,179,3689,Subscriber,3
264,2019-01-01 00:33:56.1820,2019-01-01 00:38:20.8800,117,189,4142,Subscriber,3
458,2019-01-01 00:41:54.6000,2019-01-01 00:49:33.2730,68,96,1628,Subscriber,3
364,2019-01-01 00:43:32.5710,2019-01-01 00:49:37.4260,89,334,2969,Subscriber,3
681,2019-01-01 00:49:56.4640,2019-01-01 01:01:17.7010,73,367,3469,Subscriber,3
549,2019-01-01 00:50:01.0370,2019-01-01 00:59:10.3190,104,76,4050,Customer,3
304,2019-01-01 00:54:48.9310,2019-01-01 00:59:53.5810,80,179,3861,Subscriber,3
425,2019-01-01 01:00:48.0620,2019-01-01 01:07:53.3960,4,46,3571,Subscriber,3
1353,2019-01-01 01:03:34.4120,2019-01-01 01:26:07.8520,91,78,3066,Customer,3
454,2019-01-01 01:08:56.1240,2019-01-01 01:16:30.3240,36,39,3443,Subscriber,3
997,2019-01-01 01:09:11.6720,2019-01-01 01:25:49.6210,121,222,4517,Subscriber,3
301,2019-01-01 01:09:44.7870,2019-01-01 01:14:46.1730,39,46,3777,Subscriber,3
532,2019-01-01 01:09:49.8660,2019-01-01 01:18:42.3830,95,235,3957,Subscriber,3
2531,2019-01-01 01:19:30.5440,2019-01-01 02:01:41.6940,342,58,1534,Customer,3
2511,2019-01-01 01:19:42.1900,2019-01-01 02:01:33.6850,342,58,2504,Customer,3
892,2019-01-01 01:21:13.4180,2019-01-01 01:36:06.1680,358,206,3951,Subscriber,3
2377,2019-01-01 01:21:47.1730,2019-01-01 02:01:24.5470,342,58,3442,Customer,3
2346,2019-01-01 01:22:37.2660,2019-01-01 02:01:44.1820,342,58,2845,Customer,3
1952,2019-01-01 01:29:21.9540,2019-01-01 02:01:54.1940,66,338,2409,Subscriber,3
1060,2019-01-01 01:33:05.0690,2019-01-01 01:50:45.1960,36,41,3478,Subscriber,3
592,2019-01-01 01:33:45.5060,2019-01-01 01:43:38.0140,181,115,3454,Subscriber,3
841,2019-01-01 01:34:44.0400,2019-01-01 01:48:45.3290,6,95,3075,Subscriber,3
138,2019-01-01 01:35:47.4360,2019-01-01 01:38:05.9390,90,195,4016,Subscriber,3
1381,2019-01-01 01:38:43.8010,2019-01-01 02:01:45.6400,206,12,2756,Customer,3
688,2019-01-01 01:39:55.2280,2019-01-01 01:51:23.8400,342,27,2382,Subscriber,3
893,2019-01-01 01:40:26.0330,2019-01-01 01:55:19.3260,206,57,3062,Customer,3
553,2019-01-01 01:42:17.8700,2019-01-01 01:51:31.7360,177,19,2706,Customer,3
356,2019-01-01 01:46:26.4100,2019-01-01 01:52:22.6430,89,377,3367,Subscriber,3
246,2019-01-01 01:50:40.6340,2019-01-01 01:54:46.8390,115,71,2456,Subscriber,3
823,2019-01-01 01:53:30.6750,2019-01-01 02:07:13.9550,218,352,2628,Subscriber,3
471,2019-01-01 01:54:26.0040,2019-01-01 02:02:17.1600,178,107,3695,Subscriber,3
855,2019-01-01 02:09:49.3510,2019-01-01 02:24:04.7730,87,66,3981,Subscriber,3
31521,2019-01-01 02:13:52.3030,2019-01-01 10:59:13.6990,121,163,3712,Customer,3
285,2019-01-01 02:24:58.0040,2019-01-01 02:29:43.3190,133,124,4438,Subscriber,3
1269,2019-01-01 02:41:21.6780,2019-01-01 03:02:30.8420,33,90,2419,Customer,3
1219,2019-01-01 02:41:44.7730,2019-01-01 03:02:04.0190,33,90,4144,Customer,3
1063,2019-01-01 03:07:08.6240,2019-01-01 03:24:51.8060,68,21,3398,Subscriber,3
329,2019-01-01 03:25:45.3100,2019-01-01 03:31:15.2650,80,178,4371,Subscriber,3
336,2019-01-01 03:38:15.6120,2019-01-01 03:43:52.4950,58,21,2845,Subscriber,3
369,2019-01-01 04:20:47.5450,2019-01-01 04:26:56.8890,68,78,4045,Subscriber,3
356,2019-01-01 05:43:15.8450,2019-01-01 05:49:11.9770,74,76,2565,Customer,3
891,2019-01-01 05:56:03.4740,2019-01-01 06:10:54.7620,51,91,3432,Subscriber,3
223,2019-01-01 06:01:58.0440,2019-01-01 06:05:41.6050,363,81,4526,Subscriber,3
1002,2019-01-01 06:05:07.5560,2019-01-01 06:21:49.6970,23,23,2170,Subscriber,3
622,2019-01-01 06:06:01.8390,2019-01-01 06:16:24.1470,157,42,4553,Subscriber,3
707,2019-01-01 06:22:09.9770,2019-01-01 06:33:57.8370,51,11,3933,Subscriber,3
412,2019-01-01 06:30:32.2250,2019-01-01 06:37:24.2340,39,81,3366,Subscriber,3
532,2019-01-01 06:40:00.5340,2019-01-01 06:48:53.4070,27,21,3392,Subscriber,3
975,2019-01-01 06:42:56.9410,2019-01-01 06:59:12.6920,3,51,4094,Subscriber,3
1073,2019-01-01 07:06:58.0670,2019-01-01 07:24:51.4920,355,355,2983,Subscriber,3
1402,2019-01-01 07:18:26.3600,2019-01-01 07:41:49.2000,71,71,2988,Subscriber,3
389,2019-01-01 07:21:45.2570,2019-01-01 07:28:14.9890,72,318,4060,Subscriber,3
1057,2019-01-01 07:26:56.8660,2019-01-01 07:44:33.8760,3,366,2321,Subscriber,3
480,2019-01-01 07:37:45.9860,2019-01-01 07:45:46.7820,93,119,3959,Subscriber,3
1009,2019-01-01 07:41:22.8570,2019-01-01 07:58:11.8880,23,335,2268,Subscriber,3
369,2019-01-01 07:49:52.1930,2019-01-01 07:56:01.9420,365,13,3460,Subscriber,3
806,2019-01-01 07:57:35.5730,2019-01-01 08:11:02.4420,88,179,2145,Subscriber,3
1158,2019-01-01 07:58:26.8750,2019-01-01 08:17:45.5040,96,11,4442,Subscriber,3
3536,2019-01-01 07:59:40.4820,2019-01-01 08:58:36.7900,23,23,2170,Subscriber,3
244,2019-01-01 08:02:50.7160,2019-01-01 08:06:55.5010,145,115,2272,Subscriber,3
46059,2019-01-01 08:04:17.7130,2019-01-01 20:51:57.2110,59,23,3368,Customer,3
919,2019-01-01 08:04:40.9310,2019-01-01 08:20:00.9290,86,16,4465,Subscriber,3
181,2019-01-01 08:12:06.1410,2019-01-01 08:15:07.3860,185,318,3657,Subscriber,3
514,2019-01-01 08:12:37.1070,2019-01-01 08:21:11.8630,90,80,3747,Subscriber,3
1045,2019-01-01 08:20:01.3080,2019-01-01 08:37:26.4580,8,189,2885,Subscriber,3
872,2019-01-01 08:20:12.6590,2019-01-01 08:34:45.0810,66,33,3652,Subscriber,3
261,2019-01-01 08:20:28.2800,2019-01-01 08:24:50.2270,116,68,3326,Subscriber,3
207,2019-01-01 08:22:36.4640,2019-01-01 08:26:03.6910,222,365,4505,Subscriber,3
561,2019-01-01 08:23:15.7710,2019-01-01 08:32:36.8890,356,182,3989,Subscriber,3
1744,2019-01-01 08:23:37.4900,2019-01-01 08:52:42.4430,370,37,4413,Subscriber,3
571,2019-01-01 08:27:26.8160,2019-01-01 08:36:58.4260,8,68,4026,Subscriber,3
1885,2019-01-01 08:28:33.2320,2019-01-01 08:59:58.8030,345,361,3556,Subscriber,3
1447,2019-01-01 08:30:57.0780,2019-01-01 08:55:04.4260,93,40,2250,Subscriber,3
681,2019-01-01 08:37:04.5020,2019-01-01 08:48:25.6400,116,143,3586,Subscriber,3
1315,2019-01-01 08:40:22.5770,2019-01-01 09:02:17.7760,88,88,3846,Subscriber,3
436,2019-01-01 08:43:58.2310,2019-01-01 08:51:15.0370,372,46,3761,Subscriber,3
933,2019-01-01 08:44:01.8200,2019-01-01 08:59:35.2550,6,88,3063,Subscriber,3
133,2019-01-01 08:45:54.5630,2019-01-01 08:48:07.6110,318,189,3657,Subscriber,3
743,2019-01-01 08:46:34.8490,2019-01-01 08:58:58.5360,41,80,2181,Subscriber,3
1952,2019-01-01 08:50:43.9870,2019-01-01 09:23:16.1110,364,69,3001,Subscriber,3
409,2019-01-01 08:51:45.2140,2019-01-01 08:58:34.5790,174,175,2517,Customer,3
1880,2019-01-01 08:53:47.7610,2019-01-01 09:25:07.9260,71,27,3040,Subscriber,3
226,2019-01-01 08:55:05.9090,2019-01-01 08:58:52.0380,178,80,3910,Subscriber,3
332,2019-01-01 08:55:51.4360,2019-01-01 09:01:24.4020,87,68,4076,Subscriber,3
176,2019-01-01 08:56:47.6780,2019-01-01 08:59:44.3370,365,222,4505,Subscriber,3
462,2019-01-01 08:57:43.2440,2019-01-01 09:05:26.0470,95,90,3330,Subscriber,3
3475,2019-01-01 08:59:07.7540,2019-01-01 09:57:03.3010,36,36,2447,Customer,3
153,2019-01-01 08:59:11.3280,2019-01-01 09:01:44.8360,36,370,1372,Customer,3
2494,2019-01-01 09:02:21.7270,2019-01-01 09:43:56.3070,361,361,3556,Subscriber,3
