trip_duration,start_date,end_date,start_station_id,end_station_id,bike_id,member_type,location_id
320,2019-01-01 00:01:47.4010,2019-01-01 00:07:07.5810,3160.0,3283.0,15839,Subscriber,4
316,2019-01-01 00:04:43.7360,2019-01-01 00:10:00.6080,519.0,518.0,32723,Subscriber,4
591,2019-01-01 00:06:03.9970,2019-01-01 00:15:55.4380,3171.0,3154.0,27451,Subscriber,4
2719,2019-01-01 00:07:03.5450,2019-01-01 00:52:22.6500,504.0,3709.0,21579,Subscriber,4
303,2019-01-01 00:07:35.9450,2019-01-01 00:12:39.5020,229.0,503.0,35379,Subscriber,4
535,2019-01-01 00:08:33.1790,2019-01-01 00:17:28.3540,3630.0,3529.0,30315,Subscriber,4
280,2019-01-01 00:09:21.0060,2019-01-01 00:14:01.1510,3675.0,3288.0,35391,Subscriber,4
1547,2019-01-01 00:11:22.9070,2019-01-01 00:37:10.0550,285.0,3358.0,35551,Subscriber,4
300,2019-01-01 00:12:17.9310,2019-01-01 00:17:18.8300,3394.0,3398.0,18636,Subscriber,4
123,2019-01-01 00:12:19.6030,2019-01-01 00:14:23.1040,432.0,3656.0,35206,Subscriber,4
932,2019-01-01 00:14:02.7970,2019-01-01 00:29:35.0450,379.0,336.0,35148,Subscriber,4
209,2019-01-01 00:15:09.9730,2019-01-01 00:18:39.0110,438.0,301.0,34416,Subscriber,4
976,2019-01-01 00:15:12.8890,2019-01-01 00:31:29.1450,3452.0,251.0,35685,Subscriber,4
97,2019-01-01 00:15:40.0140,2019-01-01 00:17:17.3120,3430.0,3095.0,34307,Subscriber,4
467,2019-01-01 00:16:22.9480,2019-01-01 00:24:10.5430,507.0,492.0,35561,Subscriber,4
348,2019-01-01 00:17:28.9820,2019-01-01 00:23:17.6080,3095.0,3101.0,35695,Subscriber,4
505,2019-01-01 00:18:45.1180,2019-01-01 00:27:10.5990,3132.0,359.0,31801,Subscriber,4
3494,2019-01-01 00:18:57.5640,2019-01-01 01:17:11.5700,3171.0,3164.0,35785,Subscriber,4
829,2019-01-01 00:19:08.1030,2019-01-01 00:32:57.3880,3165.0,3295.0,32106,Subscriber,4
451,2019-01-01 00:21:00.6320,2019-01-01 00:28:31.9450,403.0,545.0,32038,Subscriber,4
736,2019-01-01 00:21:02.9570,2019-01-01 00:33:19.4110,3165.0,3295.0,16761,Customer,4
617,2019-01-01 00:21:25.8400,2019-01-01 00:31:42.9920,3159.0,3142.0,24895,Subscriber,4
537,2019-01-01 00:21:42.7480,2019-01-01 00:30:40.4410,3231.0,519.0,30089,Subscriber,4
377,2019-01-01 00:23:26.4720,2019-01-01 00:29:43.6340,435.0,509.0,32313,Subscriber,4
643,2019-01-01 00:24:10.9070,2019-01-01 00:34:54.2950,484.0,484.0,34089,Subscriber,4
199,2019-01-01 00:24:55.4210,2019-01-01 00:28:14.7540,3302.0,3630.0,35775,Subscriber,4
414,2019-01-01 00:24:59.4330,2019-01-01 00:31:53.8990,3321.0,157.0,34381,Subscriber,4
1145,2019-01-01 00:25:00.0880,2019-01-01 00:44:05.4970,3163.0,490.0,24945,Customer,4
1068,2019-01-01 00:25:13.8750,2019-01-01 00:43:01.9350,394.0,3431.0,32042,Subscriber,4
357,2019-01-01 00:25:30.3870,2019-01-01 00:31:27.5400,3170.0,3167.0,33859,Subscriber,4
1102,2019-01-01 00:25:49.2030,2019-01-01 00:44:12.0540,3163.0,490.0,29389,Customer,4
1097,2019-01-01 00:25:49.3240,2019-01-01 00:44:06.7160,3163.0,490.0,33607,Customer,4
607,2019-01-01 00:26:16.4100,2019-01-01 00:36:23.8570,285.0,301.0,33456,Subscriber,4
133,2019-01-01 00:26:35.2380,2019-01-01 00:28:48.7560,3656.0,432.0,34266,Subscriber,4
1222,2019-01-01 00:26:42.2590,2019-01-01 00:47:04.4470,3304.0,396.0,30705,Subscriber,4
1030,2019-01-01 00:27:04.5670,2019-01-01 00:44:15.3080,3163.0,490.0,29712,Customer,4
813,2019-01-01 00:27:12.5070,2019-01-01 00:40:45.5940,3165.0,450.0,32899,Subscriber,4
3491,2019-01-01 00:27:17.1280,2019-01-01 01:25:28.2510,3574.0,432.0,32404,Subscriber,4
788,2019-01-01 00:27:32.0630,2019-01-01 00:40:40.7150,534.0,327.0,28961,Customer,4
787,2019-01-01 00:27:34.0970,2019-01-01 00:40:41.5620,534.0,327.0,16825,Customer,4
369,2019-01-01 00:28:02.8340,2019-01-01 00:34:12.0320,3367.0,3492.0,27026,Subscriber,4
716,2019-01-01 00:28:42.7480,2019-01-01 00:40:39.4030,3165.0,450.0,28774,Subscriber,4
476,2019-01-01 00:28:54.2330,2019-01-01 00:36:50.9080,307.0,3467.0,24932,Subscriber,4
904,2019-01-01 00:29:16.7550,2019-01-01 00:44:20.9640,3235.0,297.0,28407,Subscriber,4
375,2019-01-01 00:29:16.8360,2019-01-01 00:35:32.0620,168.0,504.0,28429,Subscriber,4
795,2019-01-01 00:29:18.9710,2019-01-01 00:42:34.6380,328.0,361.0,32962,Subscriber,4
541,2019-01-01 00:29:27.2690,2019-01-01 00:38:28.9710,223.0,432.0,30106,Subscriber,4
1265,2019-01-01 00:29:29.7560,2019-01-01 00:50:35.6170,3585.0,3110.0,35621,Subscriber,4
1408,2019-01-01 00:31:26.0610,2019-01-01 00:54:54.4120,79.0,2021.0,30597,Subscriber,4
711,2019-01-01 00:31:36.9290,2019-01-01 00:43:28.0580,346.0,529.0,29078,Subscriber,4
216,2019-01-01 00:31:55.9790,2019-01-01 00:35:32.7450,3453.0,3085.0,34991,Subscriber,4
2512,2019-01-01 00:32:13.2530,2019-01-01 01:14:05.7140,3108.0,391.0,35059,Subscriber,4
524,2019-01-01 00:32:14.4270,2019-01-01 00:40:59.2060,3467.0,127.0,34778,Subscriber,4
220,2019-01-01 00:34:01.4710,2019-01-01 00:37:42.2550,316.0,195.0,20120,Subscriber,4
284,2019-01-01 00:34:35.9010,2019-01-01 00:39:20.4540,476.0,536.0,17408,Subscriber,4
292,2019-01-01 00:34:49.7580,2019-01-01 00:39:42.4190,265.0,326.0,29149,Subscriber,4
837,2019-01-01 00:35:00.3960,2019-01-01 00:48:57.7890,3115.0,3067.0,21528,Subscriber,4
837,2019-01-01 00:35:04.5250,2019-01-01 00:49:01.6370,458.0,334.0,29066,Subscriber,4
187,2019-01-01 00:35:03.5980,2019-01-01 00:38:10.6250,484.0,524.0,34089,Subscriber,4
591,2019-01-01 00:35:27.1030,2019-01-01 00:45:18.7200,3175.0,3350.0,35750,Subscriber,4
700,2019-01-01 00:37:51.4780,2019-01-01 00:49:31.6660,259.0,340.0,34720,Subscriber,4
268,2019-01-01 00:37:57.8670,2019-01-01 00:42:26.2600,439.0,150.0,20727,Subscriber,4
604,2019-01-01 00:38:16.1910,2019-01-01 00:48:20.9080,435.0,380.0,30275,Subscriber,4
714,2019-01-01 00:39:11.3110,2019-01-01 00:51:05.3510,355.0,415.0,26778,Subscriber,4
711,2019-01-01 00:39:20.0070,2019-01-01 00:51:11.8400,355.0,415.0,35109,Subscriber,4
537,2019-01-01 00:39:36.3300,2019-01-01 00:48:34.0800,402.0,3244.0,33306,Subscriber,4
