trip_duration,start_date,end_date,start_station_id,end_station_id,bike_id,member_type,location_id
177,2/1/2019 0:00,2/1/2019 0:00,0198,0298,388.0,365 Standard,2
221,2/1/2019 0:00,2/1/2019 0:00,0193,0173,1880.0,365 Plus,2
3272,2/1/2019 0:00,2/1/2019 0:00,0063,0143,779.0,Vancity Community Pass,2
157,2/1/2019 0:00,2/1/2019 0:00,0064,0078,2123.0,365 Day Pass Plus SALE,2
516,1/31/2019 23:00,2/1/2019 0:00,0060,0196,444.0,365 Day Pass Plus SALE,2
347,1/31/2019 23:00,1/31/2019 23:00,0036,0032,743.0,365 Day Pass Plus SALE,2
344,1/31/2019 23:00,1/31/2019 23:00,0036,0032,156.0,365 Day Founding Standard,2
394,1/31/2019 23:00,1/31/2019 23:00,0076,0208,334.0,365 Day Pass Standard SALE,2
605,1/31/2019 23:00,2/1/2019 0:00,0197,0064,1319.0,365 Corporate Standard,2
445,1/31/2019 23:00,1/31/2019 23:00,0173,0064,2123.0,365 Standard,2
297,1/31/2019 23:00,1/31/2019 23:00,0034,0030,786.0,365 Standard,2
171,1/31/2019 23:00,1/31/2019 23:00,0125,0057,1057.0,365 Plus,2
1124,1/31/2019 23:00,1/31/2019 23:00,0176,0231,1464.0,365 Standard,2
812,1/31/2019 23:00,1/31/2019 23:00,0063,0076,334.0,365 Day Pass Standard SALE,2
221,1/31/2019 23:00,1/31/2019 23:00,0026,0078,929.0,365 Day Founding Standard,2
767,1/31/2019 23:00,1/31/2019 23:00,0014,0092,1694.0,365 Standard,2
1105,1/31/2019 23:00,1/31/2019 23:00,0199,0229,1738.0,Vancity Community Pass,2
271,1/31/2019 23:00,1/31/2019 23:00,0015,0036,1496.0,365 Standard,2
348,1/31/2019 23:00,1/31/2019 23:00,0066,0076,845.0,365 Day Pass Plus SALE,2
807,1/31/2019 23:00,1/31/2019 23:00,0012,0092,2124.0,90 Day,2
3397,1/31/2019 23:00,2/1/2019 0:00,0033,0063,779.0,Vancity Community Pass,2
490,1/31/2019 22:00,1/31/2019 23:00,0012,0137,245.0,90 Day,2
379,1/31/2019 22:00,1/31/2019 23:00,0078,0006,1338.0,365 Corporate Plus,2
550,1/31/2019 22:00,1/31/2019 23:00,0015,0088,346.0,365 Standard,2
708,1/31/2019 22:00,1/31/2019 23:00,0187,0033,779.0,Vancity Community Pass,2
